Date,Choke_Size (mm),Casing_pressure (kpag),Flowing _Temperature (Celcius),Gas_Rate
2000-01-01,10.08,11271,34,11.7216
2000-01-02,10.08,10797,34,9.5535
2000-01-03,10.08,10795,34,6.1182
2000-01-04,10.86,11299,37,9.6327
2000-01-05,10.86,11286,40,11.2464
2000-01-06,10.86,11272,40,11.1177
2000-01-07,10.86,11345,40,10.3752
2000-01-08,10.86,11328,40,10.5336
2000-01-09,10.86,11393,41,12.375
2000-01-10,10.86,11480,41,11.8305
2000-01-11,10.86,11335,41,12.0087
2000-01-12,10.86,11386,41,12.0582
2000-01-13,10.86,11337,41,12.4938
2000-01-14,10.86,11342,41,12.3057
2000-01-15,10.86,11330,42,12.9987
2000-01-16,10.86,11303,42,13.0086
2000-01-17,10.86,11447,42,13.1472
2000-01-18,10.86,11403,42,13.1472
2000-01-19,10.86,11436,42,13.1373
2000-01-20,10.86,11444,42,13.1472
2000-01-21,10.86,11664,42,14.0976
2000-01-22,10.86,11805,42,14.9688
2000-01-23,10.86,12075,41,19.503
2000-01-24,10.86,12070,41,19.6317
2000-01-25,10.86,12179,41,19.5822
2000-01-26,10.86,12294,41,19.6911
2000-01-27,10.86,12586,41,21.6909
2000-01-28,10.86,12431,41,20.4732
2000-01-29,10.86,12392,41,21.7008
2000-01-30,10.86,12514,40,21.9285
2000-01-31,10.86,12453,40,24.8787
2000-02-01,10.86,12382,40,24.8391
2000-02-02,11.66,13000,40,29.4426
2000-02-03,11.66,13120,40,37.8477
2000-02-04,11.66,13195,40,39.4515
2000-02-05,11.66,13273,39,42.4908
2000-02-06,11.66,13309,39,38.2833
2000-02-07,11.66,13367,39,40.3623
2000-02-08,11.66,13427,40,41.6394
2000-02-09,11.66,13471,40,41.5404
2000-02-10,11.66,13514,40,41.58
2000-02-11,11.66,13539,41,36.8379
2000-02-12,11.66,13548,41,37.719
2000-02-13,11.66,13564,41,38.2437
2000-02-14,11.66,13676,43,43.5996
2000-02-15,11.66,13945,43,48.6783
2000-02-16,11.66,13897,43,44.2431
2000-02-17,11.66,13939,43,47.4606
2000-02-18,11.66,13977,43,46.9062
2000-02-19,12.46,14319,43,56.6775
2000-02-20,12.46,14388,43,54.4302
2000-02-21,12.46,14300,43,58.113
2000-02-22,12.46,14325,43,55.8162
2000-02-23,12.46,14315,43,60.4692
2000-02-24,12.46,14366,43,60.0732
2000-02-25,12.46,14620,43,63.2214
2000-02-26,12.46,14485,43,63.6471
2000-02-27,12.46,14687,43,63.0828
2000-02-28,12.46,14720,43,61.2612
2000-02-29,12.46,14757,43,65.5776
2000-03-01,12.46,14799,43,70.6761
2000-03-02,12.46,14850,41,68.0724
2000-03-03,12.46,14879,41,67.4982
2000-03-04,12.46,14885,41,68.1318
2000-03-05,12.46,14905,41,67.5477
2000-03-06,12.46,14983,42,69.8841
2000-03-07,12.46,14937,42,70.2306
2000-03-08,12.46,14983,41,71.1513
2000-03-09,12.46,14937,41,76.2003
2000-03-10,13.25,15013,41,83.1897
2000-03-11,13.25,15056,41,84.0411
2000-03-12,13.25,15095,40,93.357
2000-03-13,13.25,15297,40,92.9016
2000-03-14,14.04,15341,40,94.545
2000-03-15,14.04,15392,40,98.109
2000-03-16,14.04,15763,41,110.4642
