iter	R2	RMSE
0	-3.65323715	188.5942505
1	-3.276600475	180.8007365
2	-2.911739816	172.9162608
3	-2.586943361	165.5819965
4	-2.284125809	158.438509555	-2.008272581	151.638488966	-1.770572579	145.524334277	-1.554034854	139.72183
8	-1.377826062	134.8158321
9	-1.169327738	128.7696277
10	-0.9892277773	123.3085278
11	-0.8116149471	117.6748905112	-0.6579749074	112.5744495113	-0.5183627808	107.7304887114	-0.3913447903	103.1260156115	-0.2796689916	98.90077121616	-0.1681545525	94.49329821717	-0.07433524444	90.619318	-018	0.01173323739	86.9136419	119	0.09496023658	83.1734420	220	0.1655296232	79.8649621	221	0.2315330871	76.6414022	222	0.2951756781	73.399123	0223	0.3539511516	70.272124	0224	0.4051002187	67.433025	0225	0.4555059613	64.513026	2626	0.5007496073	61.774627	227	0.5432751215	59.0851228	228	0.5788203286	56.7393729	29	0.6136602766	54.34198930	30	0.6437979798	52.1793931	031	0.671774765	50.08836332	32	0.6997301094	47.9078573333	0.7230824768	46.00722873434	0.7448057066	44.16582373535	0.7636821818	42.50099423636	0.7821239466	40.80896737	37	0.7978746915	39.30621238	38	0.8127523861	37.8319733939	0.8262313539	36.4448833440	0.8387582976	35.10666238441	0.8506415533	33.78825393442	0.8610866631	32.5853828443	0.8706124917	31.4482896444	0.8802356534	30.25621724545	0.8895686201	29.05340946	46	0.8970268671	28.0551647	047	0.9041197412	27.0716948	048	0.9105346028	26.1504049	049	0.9162807182	25.296650	0.50	0.9218344409	24.443251	0.51	0.9274347961	23.551352	052	0.932524664	22.710353	0.53	0.9370873127	21.929054	0.54	0.9409481188	21.245555	0.55	0.9445842097	20.581056	0.56	0.9480523233	19.926657	057	0.951048643	19.34341858	58	0.954050602	18.74091405959	0.9567526314	18.1815414660	0.9591204192	17.67681726161	0.9615731754	17.13831462	62	0.9636183979	16.67599563	63	0.9657071847	16.1902076464	0.9672473417	15.82246465	65	0.9689807878	15.39806866	66	0.9706378505	14.98113767	67	0.9722243482	14.57078668	68	0.9734648362	14.24169769	69	0.9746812048	13.91144970	70	0.9758272045	13.592968771	0.9769412966	13.2760322
72	0.977939185	12.98558836
