iter	Passed	Remaining
0	40	12031
1	68	10167
2	94	9398
3	121	9007
4	153	9082
5	179	8801
6	211	8866
7	240	8768
8	262	8477
9	291	8464
10	316	8304
11	341	8200
12	365	8059
13	389	7963
14	414	7878
15	442	7852
16	464	7735
17	496	7772
18	525	7775
19	554	7766
20	589	7834
21	618	7818
22	649	7825
23	675	7767
24	702	7722
25	728	7672
26	752	7609
27	782	7599
28	812	7597
29	838	7549
30	866	7515
31	896	7509
32	921	7456
33	950	7440
34	979	7415
35	1014	7442
36	1045	7428
37	1069	7371
38	1101	7368
39	1132	7360
40	1161	7336
41	1189	7309
42	1216	7272
43	1246	7254
44	1276	7231
45	1301	7183
46	1328	7152
47	1356	7121
48	1391	7127
49	1421	7107
50	1447	7068
51	1476	7040
52	1508	7030
53	1533	6985
54	1562	6959
55	1590	6929
56	1619	6902
57	1647	6872
58	1674	6840
59	1702	6808
60	1733	6793
61	1760	6759
62	1784	6713
63	1825	6732
64	1851	6692
65	1882	6672
66	1912	6649
67	1943	6632
68	1972	6605
69	2001	6576
70	2035	6565
71	2064	6536
72	2093	6509
73	2123	6483
74	2154	6463
75	2181	6430
76	2212	6406
77	2243	6384
78	2278	6372
79	2308	6349
80	2342	6332
81	2372	6306
82	2402	6281
83	2431	6251
84	2455	6212
85	2485	6183
86	2512	6151
87	2536	6111
88	2562	6075
89	2595	6056
90	2624	6026
91	2653	5998
92	2689	5985
93	2717	5955
94	2843	6136
95	2868	6094
96	2897	6063
97	2922	6023
98	2952	5994
99	2975	5951
100	3006	5923
101	3034	5891
102	3060	5853
103	3088	5819
104	3117	5788
105	3142	5751
106	3174	5725
107	3205	5698
108	3234	5667
109	3266	5641
110	3294	5609
111	3324	5579
112	3352	5548
113	3378	5512
114	3414	5493
115	3442	5460
116	3471	5429
117	3500	5399
118	3528	5367
119	3554	5332
120	3584	5302
121	3618	5279
122	3646	5247
123	3677	5220
124	3705	5187
125	3741	5167
126	3774	5141
127	3801	5108
128	3830	5077
129	3864	5053
130	3892	5021
131	3928	4999
132	3961	4973
133	3988	4940
134	4016	4909
135	4049	4883
136	4075	4849
137	4107	4821
138	4141	4797
139	4169	4764
140	4198	4733
141	4228	4705
142	4257	4673
143	4286	4643
144	4310	4608
145	4338	4576
146	4367	4545
147	4397	4516
148	4429	4489
149	4458	4458
150	4486	4426
151	4518	4399
152	4547	4369
153	4574	4336
154	4603	4306
155	4634	4278
156	4663	4247
157	4696	4220
158	4728	4192
159	4758	4164
160	4792	4137
161	4819	4105
162	4855	4080
163	4888	4053
164	4920	4025
165	4955	4000
166	4988	3973
167	5019	3943
168	5051	3915
169	5082	3886
170	5108	3853
171	5139	3824
172	5167	3793
173	5201	3766
174	5232	3737
175	5262	3708
176	5290	3676
177	5319	3645
178	5347	3614
179	5381	3587
180	5413	3559
181	5443	3529
182	5474	3500
183	5507	3472
184	5537	3442
185	5572	3415
186	5605	3387
187	5635	3357
188	5667	3328
189	5696	3298
190	5730	3270
191	5760	3240
192	5805	3218
193	5840	3191
194	5871	3161
195	5897	3129
196	5932	3101
197	5964	3072
198	5998	3044
199	6033	3016
200	6060	2985
201	6094	2956
202	6128	2928
203	6160	2899
204	6193	2870
205	6219	2838
206	6250	2808
207	6285	2780
208	6318	2750
209	6348	2720
210	6384	2693
211	6420	2665
212	6447	2633
213	6481	2604
214	6516	2576
215	6544	2545
216	6575	2514
217	6609	2485
218	6641	2456
219	6669	2425
220	6701	2395
221	6733	2365
222	6769	2337
223	6805	2309
224	6841	2280
225	6872	2250
226	6908	2221
227	6937	2190
228	6969	2160
229	6999	2130
230	7030	2099
231	7061	2069
232	7088	2038
233	7124	2009
234	7156	1979
235	7183	1948
236	7219	1919
237	7255	1890
238	7281	1858
239	7316	1829
240	7349	1799
241	7383	1769
242	7408	1737
243	7441	1707
244	7473	1677
245	7501	1646
246	7538	1617
247	7574	1588
248	7609	1558
249	7638	1527
250	7673	1497
251	7705	1467
252	7732	1436
253	7764	1406
254	7796	1375
255	7826	1345
256	7854	1314
257	7884	1283
258	7912	1252
259	7948	1222
260	7981	1192
261	8016	1162
262	8047	1132
263	8081	1101
264	8112	1071
265	8143	1040
266	8171	1009
267	8206	979
268	8238	949
269	8272	919
270	8304	888
271	8335	858
272	8365	827
273	8397	796
274	8431	766
275	8464	736
276	8496	705
277	8530	675
278	8559	644
279	8592	613
280	8627	583
281	8655	552
282	8687	521
283	8736	492
284	8772	461
285	8803	430
286	8836	400
287	8874	369
288	8910	339
289	8937	308
290	8973	277
291	9024	247
292	9057	216
293	9092	185
294	9129	154
295	9164	123
296	9193	92
297	9230	61
298	9262	30
299	9290	0
