iter	RMSE
0	85.60161306
1	83.12849506
2	80.8520431
3	78.53187217
4	76.2658315
5	74.21428074
6	72.20569334
7	70.17786729
8	68.18005834
9	66.2926355
10	64.33808276
11	62.53083898
12	60.83984169
13	59.14416627
14	57.44274037
15	55.93416661
16	54.35816112
17	52.86217208
18	51.39200534
19	50.1683059
20	48.77621667
21	47.45288873
22	46.22149233
23	45.02592943
24	43.77275164
25	42.57314633
26	41.39401767
27	40.26097273
28	39.187424
29	38.14343231
30	37.31052907
31	36.28459749
32	35.34757818
33	34.43110736
34	33.57639341
35	32.75651343
36	31.93452741
37	31.10065307
38	30.35876692
39	29.60174798
40	28.86465934
41	28.13838268
42	27.40535366
43	26.73459365
44	26.07137234
45	25.44439305
46	24.82831109
47	24.26742631
48	23.71358835
49	23.11624882
50	22.553673
51	22.0954788
52	21.59046142
53	21.08683619
54	20.64540209
55	20.20155366
56	19.75171932
57	19.37119025
58	18.91325823
59	18.46237436
60	18.07720134
61	17.66294656
62	17.31738549
63	16.95647044
64	16.57079982
65	16.21715769
66	15.91318947
67	15.63222921
68	15.30264312
69	14.97180114
70	14.66608638
71	14.41781587
72	14.13118397
73	13.87379208
74	13.62136682
75	13.38980524
76	13.16236071
77	12.90292467
78	12.7005349
79	12.48550084
80	12.32647524
81	12.09851783
82	11.89486986
83	11.69987312
84	11.49878686
85	11.30405152
86	11.12255879
87	10.95066752
88	10.81870199
89	10.66154717
90	10.49330209
91	10.36149798
92	10.23192383
93	10.06956955
94	9.917626692
95	9.785854093
96	9.686516032
97	9.557289615
98	9.457525983
99	9.360863379
100	9.253031959
101	9.13975871
102	9.014759203
103	8.924919037
104	8.829135409
105	8.720956861
106	8.637387536
107	8.532925355
108	8.438157861
109	8.347742263
110	8.255596538
111	8.188046942
112	8.118602981
113	8.02506108
114	7.96417073
115	7.90968503
116	7.828237271
117	7.783090093
118	7.728064125
119	7.671232669
120	7.606931614
121	7.528890488
122	7.489214604
123	7.438146951
124	7.396378366
125	7.361411465
126	7.318623573
127	7.255266078
128	7.208129614
129	7.168981044
130	7.125204724
131	7.073290663
132	7.043358298
133	7.006892798
134	6.96819374
135	6.942582822
136	6.897809751
137	6.864408813
138	6.824396456
139	6.790455447
140	6.735863656
141	6.701879736
142	6.669279526
