iter	Passed	Remaining
0	1	1136
1	2	1013
2	2	944
3	3	948
4	4	874
5	5	863
6	5	801
7	6	803
8	7	804
9	8	803
10	8	803
11	9	787
12	10	800
13	11	798
14	11	782
15	12	788
16	13	790
17	14	792
18	15	793
19	16	802
20	17	803
21	18	803
22	18	802
23	19	802
24	20	804
25	21	807
26	22	809
27	23	807
28	24	808
29	25	809
30	25	792
31	26	791
32	27	793
33	27	795
34	28	795
35	29	784
36	30	782
37	30	782
38	31	780
39	32	779
40	33	778
41	33	771
42	34	770
43	35	769
44	35	760
45	36	759
46	37	754
47	38	755
48	38	756
49	39	757
50	40	759
51	41	761
52	42	763
53	43	761
54	44	761
55	45	761
56	45	760
57	46	755
58	47	755
59	48	753
60	48	749
61	49	749
62	50	748
63	51	748
64	52	748
65	52	749
66	53	749
67	54	748
68	55	747
69	56	746
70	56	745
71	57	744
72	58	743
73	59	742
74	60	741
75	60	741
76	61	740
77	62	739
78	63	738
79	64	738
80	64	735
81	65	734
82	66	733
83	67	732
84	67	731
85	68	730
86	69	730
87	70	726
88	70	725
89	71	725
90	72	724
91	73	724
92	74	723
93	75	723
94	75	721
95	76	721
96	77	719
97	78	718
98	78	718
99	79	717
100	80	714
101	81	714
102	81	713
103	82	713
104	83	712
105	84	712
106	85	713
107	86	713
108	87	713
109	88	713
110	89	713
111	89	713
112	90	712
113	91	712
114	92	713
115	93	713
116	94	713
117	95	713
118	96	713
119	97	713
120	98	713
121	99	713
122	100	713
123	100	713
124	101	713
125	102	711
126	103	711
127	104	710
128	105	710
129	106	709
130	106	709
131	107	709
132	108	708
133	109	708
134	110	708
135	111	707
136	112	707
137	113	706
138	114	706
139	114	705
140	115	705
141	116	704
142	117	703
143	118	703
144	118	700
145	119	700
146	120	699
147	121	698
148	122	697
149	122	696
150	123	693
151	123	691
152	124	690
153	125	689
154	126	688
155	127	687
156	128	687
157	128	686
158	129	686
159	130	685
160	131	684
161	132	684
162	133	683
163	133	682
164	134	681
165	135	678
166	135	677
167	136	677
168	137	676
169	138	674
170	138	671
171	139	669
172	139	668
173	140	667
174	141	666
175	141	663
176	142	662
177	143	662
178	144	661
179	144	658
180	144	656
181	145	655
182	146	653
183	147	652
184	147	651
185	148	651
186	149	651
187	150	650
188	151	650
189	152	648
190	152	647
191	153	647
192	154	646
193	155	646
194	156	645
195	156	643
196	157	643
197	158	640
198	158	639
199	159	638
200	160	636
201	160	634
202	161	634
203	162	632
204	163	632
205	163	629
206	164	628
207	165	628
208	165	628
209	166	626
210	166	624
211	167	623
212	168	622
213	169	622
214	169	620
215	170	620
216	171	619
217	172	617
218	173	617
219	173	616
220	174	616
221	175	615
222	176	615
223	177	614
224	178	614
225	179	613
226	180	613
227	180	612
228	181	610
229	182	610
230	182	608
231	182	605
232	183	605
233	184	605
234	185	604
235	186	604
236	187	603
237	187	601
238	188	599
239	189	598
240	189	598
241	190	597
242	191	596
243	192	596
244	193	596
245	194	595
246	194	594
247	195	593
248	196	593
249	197	592
250	198	592
251	199	592
252	200	591
253	201	591
254	202	591
255	202	589
256	203	589
257	204	588
258	205	587
259	206	587
260	207	586
261	208	586
262	209	588
263	210	587
264	211	587
265	212	586
266	213	586
267	214	586
268	215	585
269	216	585
270	217	585
271	218	584
272	219	583
273	220	583
274	221	583
275	222	583
276	223	582
277	224	582
278	225	581
279	225	581
280	227	580
281	227	578
282	228	578
283	229	578
284	229	576
285	230	576
286	231	575
287	232	575
288	233	575
289	234	574
290	235	573
291	236	573
292	237	572
293	238	572
294	239	571
295	240	571
296	241	570
297	241	569
298	242	569
299	243	568
300	244	568
301	245	568
