Choke_Size (mm),Casing_pressure (kpag),Flowing _Temperature (Celcius),Gas_Rate
10.08,11271,34,11.7216
10.08,10797,34,9.5535
10.08,10795,34,6.1182
10.86,11299,37,9.6327
10.86,11286,40,11.2464
10.86,11272,40,11.1177
10.86,11345,40,10.3752
10.86,11328,40,10.5336
10.86,11393,41,12.375
10.86,11480,41,11.8305
10.86,11335,41,12.0087
10.86,11386,41,12.0582
10.86,11337,41,12.4938
10.86,11342,41,12.3057
10.86,11330,42,12.9987
10.86,11303,42,13.0086
10.86,11447,42,13.1472
10.86,11403,42,13.1472
10.86,11436,42,13.1373
10.86,11444,42,13.1472
10.86,11664,42,14.0976
10.86,11805,42,14.9688
10.86,12075,41,19.503
10.86,12070,41,19.6317
10.86,12179,41,19.5822
10.86,12294,41,19.6911
10.86,12586,41,21.6909
10.86,12431,41,20.4732
10.86,12392,41,21.7008
10.86,12514,40,21.9285
10.86,12453,40,24.8787
10.86,12382,40,24.8391
11.66,13000,40,29.4426
11.66,13120,40,37.8477
11.66,13195,40,39.4515
11.66,13273,39,42.4908
11.66,13309,39,38.2833
11.66,13367,39,40.3623
11.66,13427,40,41.6394
11.66,13471,40,41.5404
11.66,13514,40,41.58
11.66,13539,41,36.8379
11.66,13548,41,37.719
11.66,13564,41,38.2437
11.66,13676,43,43.5996
11.66,13945,43,48.6783
11.66,13897,43,44.2431
11.66,13939,43,47.4606
11.66,13977,43,46.9062
12.46,14319,43,56.6775
12.46,14388,43,54.4302
12.46,14300,43,58.113
12.46,14325,43,55.8162
12.46,14315,43,60.4692
12.46,14366,43,60.0732
12.46,14620,43,63.2214
12.46,14485,43,63.6471
12.46,14687,43,63.0828
12.46,14720,43,61.2612
12.46,14757,43,65.5776
12.46,14799,43,70.6761
12.46,14850,41,68.0724
12.46,14879,41,67.4982
12.46,14885,41,68.1318
12.46,14905,41,67.5477
12.46,14983,42,69.8841
12.46,14937,42,70.2306
12.46,14983,41,71.1513
12.46,14937,41,76.2003
13.25,15013,41,83.1897
13.25,15056,41,84.0411
13.25,15095,40,93.35700000000001
13.25,15297,40,92.9016
14.04,15341,40,94.545
14.04,15392,40,98.109
14.04,15763,41,110.4642
14.04,15792,41,105.8607
14.04,15804,41,105.0192
14.04,15822,41,105.0291
14.04,15851,41,106.0686
14.04,15883,43,107.2764
14.04,15831,43,108.2367
14.04,15777,43,105.23700000000001
14.04,15736,42,102.6927
14.04,15717,42,102.7719
14.04,15729,42,102.5145
14.04,15772,42,102.8511
14.04,15674,42,102.3264
14.04,15696,41,102.7224
14.04,15722,40,102.7521
14.04,15742,40,104.2173
14.04,15721,40,104.445
14.04,15737,40,104.1084
14.04,15741,40,104.0886
14.04,15726,40,104.9103
14.04,15754,40,103.8411
14.04,15739,40,104.148
14.04,15761,40,104.84100000000001
14.04,15804,40,106.8705
14.04,15812,40,107.2269
14.04,15773,40,109.3059
14.04,15824,40,108.405
14.04,15855,40,109.2564
14.04,15871,40,110.4444
14.04,15869,40,110.0088
14.04,15887,40,109.4742
14.04,15893,39,110.6226
14.04,15916,39,111.1374
14.04,15929,39,110.9889
14.04,15941,39,110.9592
14.04,15973,39,116.4141
14.04,15969,39,116.6418
14.04,15946,39,112.068
14.04,15998,39,111.9987
14.04,16006,39,112.068
14.04,16003,39,112.1373
14.04,15997,39,112.5036
14.04,16011,39,112.662
14.04,16027,39,112.8204
14.04,16009,39,112.4046
14.04,16046,39,109.59299999999999
14.04,16041,39,109.4643
14.04,16071,38,110.1078
14.04,16074,38,109.8108
14.04,16048,38,110.5137
14.04,16085,38,110.5929
14.04,16073,38,110.9394
14.04,16091,38,111.375
14.04,16100,39,110.3355
14.04,16108,38,111.7512
14.04,16119,38,111.8007
14.04,16114,38,111.5334
14.04,16129,38,110.484
14.04,16111,38,110.583
14.04,16171,38,110.4741
14.04,16112,38,110.781
14.04,16100,38,110.6127
14.04,16113,38,111.2661
14.04,16131,39,111.5631
14.04,16185,39,112.0383
14.04,16136,39,111.8106
14.04,16122,39,111.7512
14.04,16152,39,112.0581
14.04,16111,39,112.3254
14.04,16133,39,111.7908
14.04,16166,39,111.6621
14.04,16199,40,112.1868
14.04,16207,40,114.0975
14.04,16259,40,115.9488
14.04,16277,40,116.0874
14.04,16284,40,112.5036
14.04,16249,40,113.6619
14.04,16210,40,116.9388
14.04,16277,40,117.1566
14.04,16208,40,116.3052
14.04,16231,40,117.8397
14.04,16236,40,122.3739
14.04,16236,40,120.0078
14.04,16249,40,119.6415
14.04,16254,40,120.48299999999999
14.04,16289,40,123.1659
14.04,16313,40,120.2058
14.04,16321,40,121.4928
14.04,16343,40,122.3145
14.04,16350,40,123.3045
14.04,16363,41,123.7698
14.04,16376,41,123.8094
14.04,16389,41,124.542
14.04,16371,40,125.9973
14.04,16383,40,124.9578
14.04,16402,40,126.8289
14.04,16384,40,125.4231
15.63,16473,40,156.3606
15.63,16524,41,155.7567
15.63,16522,41,169.7454
15.63,16489,41,170.4978
15.63,16495,41,166.8447
15.63,16511,41,167.6763
15.63,16539,43,171.963
15.63,16553,44,171.2403
14.84,16503,43,162.1917
14.84,16551,43,161.1819
14.84,16516,43,159.9246
14.84,16521,43,158.7465
14.84,16505,43,159.5979
14.84,16497,43,159.0732
14.84,16555,43,158.2416
14.84,16520,43,158.4198
14.84,16541,43,158.9247
14.84,16522,43,159.5682
14.84,16487,43,159.2019
14.84,16483,43,158.7366
14.84,16489,43,159.4791
14.84,16442,43,160.0236
14.84,16481,43,160.1919
14.84,16423,43,160.776
14.84,16450,43,160.3008
14.84,16464,43,160.4493
14.84,16452,43,160.1622
14.84,16450,43,159.6375
14.84,16490,43,160.7859
14.84,16484,43,159.3405
14.84,16497,43,159.6078
14.84,16511,43,161.5185
14.84,16501,43,162.7956
14.84,16520,43,162.5085
14.84,16506,43,162.8649
14.84,16511,43,163.8648
14.84,16501,43,160.7265
14.84,16520,43,162.1917
14.84,16506,43,162.0333
14.84,16505,42,163.548
14.84,16499,42,164.34
14.84,16489,42,163.3302
14.84,16524,41,162.5184
14.84,16516,39,162.5877
14.84,16528,39,163.845
14.84,16020,11,138.1149
14.84,15128,15,142.0749
14.84,12939,10,247.1337
14.84,16403,39,208.0485
14.84,16586,37,192.0501
14.84,16905,37,147.1635
14.84,16577,37,174.3885
14.84,16471,37,160.7562
14.84,16417,37,160.38
14.84,16476,37,160.7364
14.84,16418,37,160.5483
14.84,16450,37,162.6075
14.84,16401,37,161.0235
14.84,16395,37,161.4195
14.84,16407,37,160.8552
14.84,16425,37,162.2313
14.84,16488,37,162.6867
14.84,16483,37,163.053
14.84,16497,38,167.5872
14.84,16518,38,168.1119
14.84,16571,39,170.3295
14.84,16524,39,173.1015
14.84,16504,39,172.8936
